epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,11140.4,1.43481,0.6974,0.86205,0.90966,0.79268,0.84997,0.53671,1.29128,0.63146,0.83827,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,11494.4,1.43003,0.69462,0.861,0.91008,0.79348,0.8505,0.53703,1.28954,0.63031,0.83813,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,287.526,1.42804,0.69201,0.86201,0.9103,0.79343,0.85078,0.53749,1.2892,0.63004,0.83802,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,574.806,1.43469,0.69861,0.86268,0.91099,0.79395,0.85121,0.53795,1.28833,0.62939,0.83783,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,858.366,1.43081,0.69546,0.86112,0.91078,0.79409,0.85149,0.53798,1.28755,0.62853,0.83768,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,1142.21,1.43304,0.69639,0.86182,0.91165,0.79373,0.85133,0.53819,1.28695,0.62807,0.83757,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,1426.24,1.41835,0.68973,0.8609,0.91037,0.79551,0.8519,0.53889,1.28611,0.62787,0.83746,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,1707.16,1.42549,0.69218,0.86036,0.90996,0.79621,0.85157,0.53956,1.28493,0.62716,0.83733,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,1987.59,1.4218,0.69013,0.86065,0.90988,0.797,0.85257,0.53977,1.28458,0.6269,0.83726,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,2272.01,1.42576,0.6914,0.85847,0.91052,0.79739,0.85288,0.54013,1.28396,0.62652,0.83713,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,2555.69,1.42084,0.68822,0.85979,0.91093,0.79761,0.85312,0.54067,1.2832,0.62575,0.83704,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,2838.66,1.41466,0.68654,0.8585,0.91156,0.79766,0.85343,0.54112,1.28157,0.62508,0.83684,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,3120.24,1.40653,0.68166,0.85887,0.91119,0.79845,0.85361,0.54146,1.28085,0.62477,0.83673,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,3401.84,1.4146,0.68489,0.8589,0.91063,0.79938,0.85387,0.54164,1.28,0.6242,0.83655,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,3685.6,1.41246,0.68391,0.85807,0.9121,0.79897,0.85426,0.54181,1.27892,0.62352,0.83639,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,3970.2,1.41093,0.68467,0.8579,0.91172,0.79966,0.85441,0.54208,1.2783,0.62322,0.83622,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,4254.65,1.40575,0.67989,0.85783,0.91195,0.80009,0.85444,0.54262,1.27695,0.62252,0.83607,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,4533.02,1.40482,0.68048,0.85883,0.91185,0.8003,0.85471,0.54313,1.27595,0.62226,0.83593,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,4816.24,1.40768,0.68091,0.85713,0.91324,0.7997,0.85486,0.54358,1.27448,0.62144,0.83573,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,5097.8,1.39827,0.67593,0.85645,0.91388,0.79954,0.85519,0.54368,1.27348,0.62075,0.83558,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,5379.05,1.40327,0.67699,0.85588,0.91536,0.79918,0.85565,0.54445,1.27222,0.62003,0.83547,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,5665.33,1.39578,0.67497,0.85597,0.91503,0.79906,0.85575,0.54467,1.27111,0.61941,0.83538,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,5946.14,1.39366,0.6713,0.8545,0.91528,0.79949,0.85598,0.5449,1.27025,0.619,0.83524,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,6212.84,1.39186,0.67059,0.8552,0.91618,0.79973,0.85643,0.5456,1.26874,0.6184,0.83512,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,6483.33,1.39955,0.67571,0.85627,0.91594,0.79992,0.85645,0.54581,1.26823,0.61749,0.83502,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,6740.03,1.39532,0.67257,0.85498,0.91616,0.80027,0.85663,0.54617,1.26741,0.61706,0.83491,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,7012.67,1.39445,0.67168,0.85448,0.91747,0.8005,0.85706,0.54678,1.26598,0.61633,0.83475,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,7287.37,1.38864,0.66944,0.85486,0.91717,0.80079,0.85734,0.54727,1.26463,0.61539,0.83463,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,7564.51,1.39166,0.6701,0.85446,0.91866,0.80121,0.85762,0.5479,1.26318,0.61483,0.83449,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,7830.01,1.39147,0.66936,0.85338,0.91901,0.80136,0.8579,0.54846,1.26188,0.61414,0.83435,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,8097.55,1.39044,0.66926,0.85355,0.91851,0.80222,0.85816,0.54893,1.26054,0.61343,0.83424,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,8365.93,1.38444,0.66667,0.85459,0.91871,0.80224,0.85847,0.54947,1.25933,0.61277,0.83404,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,8648.69,1.39034,0.66832,0.85384,0.91925,0.80245,0.85931,0.55001,1.25839,0.61243,0.83392,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
