epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,31268.6,1.16915,0.53569,0.84149,0.81183,0.84629,0.83317,0.58681,1.21783,0.65511,0.87337,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,32237.9,1.16076,0.53062,0.8399,0.81472,0.82522,0.83072,0.58469,1.21615,0.65439,0.87289,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,33193.3,1.16391,0.53313,0.83941,0.79647,0.84789,0.82303,0.58165,1.21492,0.65328,0.87277,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,34153.6,1.16418,0.5315,0.83912,0.8,0.83653,0.82525,0.58338,1.21341,0.65243,0.87254,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,35106.3,1.15931,0.53003,0.83781,0.81327,0.84684,0.82773,0.5852,1.21105,0.65115,0.87223,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,36063.8,1.15428,0.52851,0.83845,0.81157,0.84997,0.82761,0.58757,1.20936,0.64981,0.87186,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,37016.4,1.14956,0.52486,0.83781,0.78974,0.88984,0.82634,0.58565,1.20765,0.64948,0.87145,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,37963,1.14368,0.52297,0.83686,0.81237,0.86436,0.82768,0.58836,1.20567,0.64789,0.87116,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,38916.2,1.14475,0.52388,0.83724,0.81605,0.86203,0.82569,0.58815,1.20444,0.64712,0.87082,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,39838.1,1.14292,0.52348,0.83706,0.81595,0.86394,0.82596,0.58739,1.20317,0.64609,0.87052,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,40785,1.14114,0.52124,0.83687,0.80919,0.86817,0.82252,0.58378,1.20255,0.64522,0.87037,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,41730.4,1.14213,0.52143,0.83542,0.78596,0.88989,0.82068,0.5822,1.20079,0.64371,0.87005,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,42679,1.13496,0.51943,0.8351,0.78089,0.8893,0.82212,0.58247,1.19985,0.64318,0.86987,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,43629.7,1.137,0.51966,0.83469,0.81471,0.84591,0.82287,0.58567,1.1982,0.64224,0.86965,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,44582.6,1.12986,0.51635,0.83398,0.81424,0.84877,0.82519,0.58602,1.19767,0.64186,0.86949,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
