epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,12299.6,1.76388,0.7608,0.00197,0.90561,0.8043,0.86439,0.55232,1.55148,0.66419,0.00194,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,12691,1.76964,0.76469,0.00197,0.90632,0.80446,0.86473,0.55291,1.549,0.66396,0.00193,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,13085.7,1.76308,0.76223,0.00196,0.90655,0.8049,0.86526,0.55379,1.54902,0.66304,0.00193,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,13462.7,1.75545,0.75693,0.00195,0.90519,0.80673,0.86567,0.55469,1.54704,0.66297,0.00193,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,13847.6,1.75459,0.75767,0.00196,0.90525,0.80725,0.86601,0.55571,1.5446,0.66205,0.00193,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,14243.6,1.75665,0.7562,0.00194,0.90613,0.80736,0.86622,0.55598,1.54383,0.66136,0.00192,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,14641.9,1.75313,0.75057,0.00195,0.90785,0.80602,0.86671,0.55656,1.54159,0.66064,0.00192,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,15038.8,1.75243,0.75545,0.00196,0.90752,0.80725,0.86748,0.55705,1.54009,0.66001,0.00192,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,15428.3,1.74389,0.74789,0.00193,0.90685,0.80717,0.86753,0.55745,1.53867,0.65914,0.00192,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,15781.1,1.74282,0.74467,0.00193,0.90551,0.80899,0.86782,0.55811,1.538,0.65787,0.00192,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,16161.5,1.74637,0.74576,0.00193,0.90643,0.80901,0.86829,0.55847,1.53657,0.65785,0.00191,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,16501.1,1.74324,0.74686,0.00193,0.90748,0.80884,0.86883,0.55895,1.53511,0.65737,0.00191,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,16874.9,1.7389,0.74089,0.00193,0.90811,0.80897,0.86952,0.55966,1.53414,0.65694,0.00191,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,17246.6,1.74335,0.74516,0.00193,0.90887,0.80877,0.86908,0.56002,1.53299,0.66532,0.00191,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,17642.2,1.73279,0.74068,0.00193,0.9108,0.80759,0.86928,0.56076,1.53187,0.6671,0.00191,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,18031.6,1.73368,0.74269,0.00192,0.91265,0.80745,0.86936,0.56108,1.53035,0.66728,0.00191,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,18426.1,1.73507,0.73565,0.00191,0.91348,0.80731,0.87045,0.56164,1.52886,0.66654,0.0019,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,18826.6,1.73616,0.73714,0.00191,0.90906,0.80826,0.87074,0.56198,1.52752,0.66612,0.0019,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,19226.6,1.73359,0.73671,0.00191,0.90904,0.80875,0.87023,0.56202,1.52648,0.66527,0.0019,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,19624.2,1.73083,0.73408,0.00192,0.90987,0.80867,0.87132,0.56267,1.52485,0.66416,0.0019,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,20024.2,1.72504,0.72974,0.0019,0.90836,0.80936,0.87149,0.56297,1.52372,0.66365,0.0019,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,20420.9,1.72365,0.73009,0.0019,0.90961,0.80837,0.87156,0.56351,1.52149,0.66296,0.0019,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,20828.4,1.72513,0.73432,0.0019,0.91191,0.80801,0.87235,0.56443,1.51946,0.66152,0.00189,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,21497.7,1.72143,0.72721,0.00189,0.91023,0.80976,0.87261,0.56476,1.51868,0.66022,0.00189,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,22278.8,1.72672,0.72916,0.0019,0.91057,0.80911,0.87292,0.56518,1.51749,0.65957,0.00189,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,22907.5,1.71817,0.72778,0.00189,0.91162,0.80858,0.87324,0.56577,1.51574,0.65848,0.00189,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,23540.9,1.7099,0.72202,0.00188,0.91199,0.80833,0.87339,0.56645,1.51377,0.65748,0.00189,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,24285.3,1.71252,0.72117,0.0019,0.9122,0.80994,0.87383,0.56714,1.5128,0.65594,0.00188,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,25088.9,1.71684,0.72286,0.00188,0.91323,0.81044,0.87399,0.5675,1.51156,0.65674,0.00188,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,25756.1,1.70584,0.71927,0.00189,0.91185,0.81002,0.87414,0.5677,1.5104,0.66,0.00188,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,26363.9,1.70832,0.72026,0.00188,0.91048,0.81146,0.8743,0.5677,1.50964,0.66414,0.00188,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,26899.4,1.71169,0.72034,0.00187,0.91201,0.81177,0.87475,0.56831,1.50865,0.66407,0.00188,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
63,27555.6,1.70855,0.72014,0.00188,0.91351,0.81154,0.87525,0.56875,1.50815,0.66256,0.00188,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,28231.8,1.70653,0.7183,0.00188,0.91321,0.81295,0.87541,0.56914,1.50718,0.66029,0.00188,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,28954.4,1.70713,0.71538,0.00188,0.912,0.81335,0.87561,0.56963,1.50597,0.65613,0.00187,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,29649.7,1.70499,0.71517,0.00186,0.91404,0.81381,0.87594,0.57021,1.50389,0.65475,0.00187,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,30263.8,1.69845,0.71505,0.00188,0.9144,0.81357,0.87616,0.57069,1.50254,0.65229,0.00187,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,30931.6,1.69386,0.70717,0.00185,0.91533,0.81344,0.87619,0.57142,1.50084,0.65087,0.00187,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
69,31517.3,1.69474,0.71234,0.00186,0.91331,0.81379,0.87624,0.57198,1.49987,0.65022,0.00187,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
70,32167.7,1.69802,0.71168,0.00186,0.91283,0.81434,0.87682,0.57268,1.49808,0.65067,0.00186,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,32857.7,1.69211,0.70713,0.00185,0.91248,0.81468,0.87702,0.57307,1.49702,0.65079,0.00186,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
72,33525.5,1.69556,0.7088,0.00186,0.91279,0.8148,0.87732,0.57354,1.49496,0.65092,0.00186,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
73,34061.6,1.69162,0.70823,0.00186,0.91264,0.81572,0.87754,0.57391,1.49355,0.64939,0.00186,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
74,34585.2,1.68471,0.70357,0.00185,0.91528,0.81493,0.8779,0.57443,1.49267,0.64715,0.00186,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
75,35149.9,1.68403,0.70475,0.00184,0.9159,0.81502,0.87802,0.57473,1.49222,0.64399,0.00186,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
76,35760.9,1.68347,0.70097,0.00184,0.91691,0.81506,0.8785,0.57536,1.4911,0.63732,0.00185,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
77,36527.5,1.68219,0.70128,0.00184,0.91607,0.81595,0.87867,0.57575,1.49065,0.63461,0.00185,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
78,37128.3,1.68471,0.70203,0.00185,0.91525,0.81565,0.87881,0.57589,1.48985,0.63334,0.00185,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885
