epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,511.221,1.98141,1.71303,0.99559,0.75912,0.52898,0.59323,0.31138,1.79177,1.07056,0.92599,0.00998182,0.00332727,0.00998182,0.00332727,0.00998182,0.00332727,0.00998182,0.00332727
2,1002.96,1.85112,1.07127,0.93892,0.77863,0.51584,0.59825,0.31383,1.79301,1.06848,0.92267,0.0198829,0.00662764,0.0198829,0.00662764,0.0198829,0.00662764,0.0198829,0.00662764
3,1449.94,1.84692,1.02238,0.93933,0.67445,0.44471,0.474,0.24307,1.99329,1.84763,0.96855,0.029685,0.009895,0.029685,0.009895,0.029685,0.009895,0.029685,0.009895
4,1953.63,1.78498,0.97122,0.9306,0.80391,0.63308,0.69102,0.37558,1.72302,0.95136,0.90713,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,2447.02,1.69526,0.89002,0.91021,0.81904,0.65795,0.71237,0.40299,1.66731,0.95264,0.89822,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,2901.61,1.63383,0.84333,0.89967,0.85234,0.68881,0.75926,0.44266,1.56624,0.80656,0.88252,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,3406.37,1.59025,0.81214,0.89241,0.86915,0.71716,0.77678,0.4523,1.52478,0.78385,0.87323,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,3885.67,1.56387,0.7936,0.88723,0.87389,0.71821,0.79018,0.46923,1.49024,0.75843,0.86865,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,4339.84,1.53582,0.77152,0.88189,0.8789,0.73992,0.79786,0.47825,1.45844,0.73085,0.86256,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,4849.15,1.5291,0.76675,0.87794,0.88049,0.74195,0.80332,0.4799,1.45196,0.7228,0.8607,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,5342.05,1.50596,0.75116,0.87588,0.86548,0.74102,0.79881,0.46708,1.49242,0.73758,0.86505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,5802.79,1.49688,0.74258,0.87282,0.89699,0.74787,0.81591,0.49655,1.4134,0.70329,0.8555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,6299.41,1.47987,0.73384,0.87087,0.88359,0.75798,0.8198,0.50092,1.39236,0.68614,0.852,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,6792.66,1.47454,0.72809,0.86959,0.89937,0.76387,0.82699,0.5101,1.37446,0.67488,0.84993,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,7263.96,1.46805,0.72179,0.86709,0.90056,0.77245,0.83328,0.51578,1.35845,0.66357,0.84668,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,7749.24,1.45633,0.71695,0.86609,0.90388,0.77439,0.83489,0.51785,1.3531,0.65981,0.84646,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,8233.45,1.44583,0.70875,0.86541,0.89994,0.77789,0.83889,0.52045,1.34496,0.65138,0.84491,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,8680.31,1.44031,0.70488,0.86343,0.90261,0.77875,0.83984,0.52282,1.33809,0.64817,0.84345,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,9182.81,1.43824,0.70417,0.86442,0.90931,0.78086,0.84179,0.5263,1.32997,0.64331,0.84234,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,9673.99,1.42979,0.69784,0.86261,0.90493,0.78508,0.84351,0.52856,1.32342,0.63771,0.8412,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,10140.2,1.42395,0.69597,0.86059,0.90705,0.78594,0.84639,0.53168,1.31861,0.6352,0.84031,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,10632.9,1.41676,0.69141,0.86043,0.90755,0.78763,0.8462,0.53232,1.31742,0.63289,0.84025,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,11134.1,1.42058,0.69232,0.85898,0.90759,0.79057,0.84833,0.53291,1.3161,0.63114,0.8396,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
24,11633.3,1.41186,0.68679,0.8583,0.9091,0.79303,0.84995,0.53581,1.30491,0.62714,0.83841,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
25,12088.8,1.40222,0.68202,0.85733,0.91093,0.79158,0.85165,0.53818,1.30376,0.62515,0.83812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
26,12596.4,1.404,0.68186,0.85705,0.91118,0.79423,0.85315,0.53929,1.29986,0.62304,0.83752,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
27,13085.6,1.39939,0.67952,0.8556,0.90894,0.7963,0.85373,0.54003,1.29777,0.62145,0.83694,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
28,13538.4,1.39194,0.67481,0.85504,0.90886,0.79665,0.85399,0.5412,1.29518,0.61992,0.83665,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
29,14040.3,1.38593,0.67251,0.85499,0.9055,0.79876,0.85449,0.54153,1.29314,0.61889,0.83622,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
30,14526.1,1.38182,0.66975,0.85383,0.90568,0.79935,0.85477,0.54213,1.29146,0.61817,0.83596,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645
31,14964.7,1.38167,0.66826,0.85407,0.90506,0.80143,0.85508,0.54305,1.29047,0.6172,0.83578,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
