epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,13063,1.2247,0.60375,0.84816,0.92711,0.81074,0.87778,0.58798,1.15259,0.53686,0.83266,0.009622,0.009622,0.009622
44,13362.2,1.22564,0.60348,0.84889,0.92718,0.81214,0.87827,0.58868,1.1502,0.53516,0.83229,0.009613,0.009613,0.009613
45,13662.1,1.22415,0.60241,0.84822,0.92685,0.81327,0.87913,0.58924,1.14823,0.53358,0.83196,0.009604,0.009604,0.009604
46,13962.6,1.21992,0.60127,0.8476,0.92623,0.81492,0.88001,0.59027,1.14641,0.53198,0.83166,0.009595,0.009595,0.009595
47,14264.3,1.2237,0.60185,0.84768,0.92618,0.81581,0.88039,0.59069,1.14479,0.5309,0.83136,0.009586,0.009586,0.009586
48,14564.8,1.22222,0.60049,0.84741,0.92665,0.81584,0.8808,0.59111,1.1429,0.52978,0.83106,0.009577,0.009577,0.009577
49,14866.4,1.21878,0.59967,0.84757,0.92536,0.81818,0.88145,0.59132,1.14148,0.5289,0.83082,0.009568,0.009568,0.009568
50,15172.1,1.2209,0.6,0.84692,0.92541,0.81872,0.8819,0.59183,1.13964,0.52812,0.83059,0.009559,0.009559,0.009559
51,15479.5,1.21735,0.59904,0.84699,0.92574,0.81899,0.88247,0.59239,1.13839,0.52718,0.83039,0.00955,0.00955,0.00955
52,15779.2,1.21756,0.59847,0.84667,0.92548,0.82005,0.88271,0.59323,1.13683,0.5264,0.83013,0.009541,0.009541,0.009541
53,16086.7,1.21441,0.59719,0.84674,0.9255,0.82032,0.88294,0.59319,1.13559,0.52569,0.82989,0.009532,0.009532,0.009532
54,16390.4,1.21587,0.59731,0.84678,0.92532,0.82163,0.88346,0.59386,1.134,0.52484,0.82964,0.009523,0.009523,0.009523
55,16689,1.21253,0.59653,0.84743,0.92524,0.82271,0.88414,0.59417,1.1325,0.52396,0.82943,0.009514,0.009514,0.009514
56,16989,1.21296,0.59583,0.84638,0.92532,0.82382,0.88456,0.59441,1.13102,0.52341,0.8292,0.009505,0.009505,0.009505
57,17293.6,1.21096,0.59413,0.84572,0.92541,0.82403,0.88471,0.59486,1.13,0.52253,0.82902,0.009496,0.009496,0.009496
58,17598.5,1.21159,0.59474,0.84668,0.92642,0.82388,0.88485,0.59546,1.12865,0.52198,0.82889,0.009487,0.009487,0.009487
59,17896.1,1.21445,0.59566,0.84582,0.92653,0.82425,0.88509,0.5957,1.12759,0.52145,0.82875,0.009478,0.009478,0.009478
60,18199.5,1.20981,0.59382,0.84576,0.92605,0.82517,0.88544,0.5962,1.12664,0.52091,0.82859,0.009469,0.009469,0.009469
61,18508.2,1.20679,0.59184,0.84488,0.92623,0.82507,0.88535,0.59642,1.12606,0.52054,0.82853,0.00946,0.00946,0.00946
62,18804,1.21164,0.59435,0.84618,0.92585,0.82659,0.88565,0.59687,1.12525,0.52019,0.82834,0.009451,0.009451,0.009451
63,19100.6,1.20836,0.59332,0.84561,0.92812,0.82538,0.88591,0.59699,1.12429,0.51975,0.82822,0.009442,0.009442,0.009442
64,19395.2,1.20658,0.59133,0.84563,0.92794,0.82614,0.88599,0.59748,1.12361,0.51935,0.82813,0.009433,0.009433,0.009433
65,19698.4,1.21024,0.59361,0.84576,0.92803,0.8271,0.88627,0.59802,1.12289,0.51917,0.82801,0.009424,0.009424,0.009424
66,20000.5,1.20838,0.59225,0.84515,0.9287,0.82711,0.88655,0.59848,1.12213,0.51876,0.82788,0.009415,0.009415,0.009415
67,20295.3,1.20665,0.59251,0.84624,0.92818,0.82855,0.88719,0.59878,1.12129,0.51841,0.82776,0.009406,0.009406,0.009406
68,20587.6,1.20429,0.58992,0.84522,0.92854,0.82854,0.88736,0.59903,1.12063,0.51804,0.82768,0.009397,0.009397,0.009397
69,20880.9,1.20536,0.59123,0.84495,0.92819,0.8292,0.88762,0.59898,1.11999,0.51767,0.82758,0.009388,0.009388,0.009388
70,21184.6,1.20255,0.58894,0.84487,0.92819,0.8286,0.88754,0.59937,1.11931,0.51733,0.8275,0.009379,0.009379,0.009379
71,21496.5,1.20296,0.59038,0.84467,0.92849,0.82845,0.88794,0.59943,1.11876,0.51707,0.82744,0.00937,0.00937,0.00937
72,21808.4,1.20141,0.58938,0.84472,0.92839,0.8286,0.8876,0.59973,1.11812,0.51698,0.82733,0.009361,0.009361,0.009361
73,22109.5,1.20015,0.58866,0.84493,0.92964,0.82856,0.88802,0.6,1.11743,0.51637,0.82725,0.009352,0.009352,0.009352
74,22405.2,1.19976,0.58812,0.84446,0.92961,0.82923,0.888,0.60021,1.11681,0.51613,0.82711,0.009343,0.009343,0.009343
75,22712,1.20465,0.58974,0.84503,0.92983,0.82971,0.88823,0.60022,1.11624,0.51576,0.82704,0.009334,0.009334,0.009334
76,23031.8,1.19714,0.58723,0.84429,0.93051,0.82913,0.88832,0.6006,1.116,0.51538,0.82691,0.009325,0.009325,0.009325
77,23336.4,1.1984,0.58719,0.84336,0.93011,0.82955,0.88845,0.60082,1.11551,0.51517,0.82683,0.009316,0.009316,0.009316
78,23648.1,1.19937,0.58686,0.84441,0.92886,0.8309,0.88848,0.60095,1.11485,0.51485,0.82671,0.009307,0.009307,0.009307
79,23948.3,1.19857,0.58743,0.84422,0.9303,0.82951,0.88849,0.60095,1.11423,0.51437,0.82662,0.009298,0.009298,0.009298
80,24251.9,1.1985,0.58746,0.84431,0.93016,0.82965,0.8885,0.60127,1.11361,0.51403,0.82651,0.009289,0.009289,0.009289
81,24549.4,1.19935,0.58801,0.84377,0.93006,0.82989,0.88853,0.60147,1.11314,0.51388,0.82646,0.00928,0.00928,0.00928
82,24851,1.19923,0.58661,0.84434,0.92975,0.83099,0.88875,0.60156,1.11284,0.51339,0.82639,0.009271,0.009271,0.009271
83,25152.3,1.19505,0.58554,0.84384,0.92982,0.83127,0.88902,0.60193,1.11229,0.51293,0.82627,0.009262,0.009262,0.009262
